,company_name,trips_amount
0,Flash Cab,19558
1,Taxi Affiliation Services,11422
2,Medallion Leasing,10367
3,Yellow Cab,9888
4,Taxi Affiliation Service Yellow,9299
5,Chicago Carriage Cab Corp,9181
6,City Service,8448
7,Sun Taxi,7701
8,Star North Management LLC,7455
9,Blue Ribbon Taxi Association Inc.,5953
10,Choice Taxi Association,5015
11,Globe Taxi,4383
12,Dispatch Taxi Affiliation,3355
13,Nova Taxi Affiliation Llc,3175
14,Patriot Taxi Dba Peace Taxi Association,2235
15,Checker Taxi Affiliation,2216
16,Blue Diamond,2070
17,Chicago Medallion Management,1955
18,24 Seven Taxi,1775
19,Chicago Medallion Leasing INC,1607
20,Checker Taxi,1486
21,American United,1404
22,Chicago Independents,1296
23,KOAM Taxi Association,1259
24,Chicago Taxicab,1014
25,Top Cab Affiliation,978
26,Gold Coast Taxi,428
27,Service Taxi Association,402
28,5 Star Taxi,310
29,303 Taxi,250
30,Setare Inc,230
31,American United Taxi Affiliation,210
32,Leonard Cab Co,147
33,Metro Jet Taxi A,146
34,Norshore Cab,127
35,6742 - 83735 Tasha Ride Inc,39
36,3591 - 63480 Chuks Cab,37
37,1469 - 64126 Omar Jada,36
38,6743 - 78771 Luhak Corp,33
39,0118 - 42111 Godfrey S. Awir,33
40,6574 - Babylon Express Inc.,31
41,Chicago Star Taxicab,29
42,1085 - 72312 N and W Cab Co,29
43,2809 - 95474 C & D Cab Co Inc.,29
44,2092 - 61288 Sbeih Company,27
45,3011 - 66308 JBL Cab Inc.,25
46,3620 - 52292 David K. Cab Corp.,21
47,4615 - 83503 Tyrone Henderson,21
48,3623 - 72222 Arrington Enterprises,20
49,5074 - 54002 Ahzmi Inc,16
50,2823 - 73307 Lee Express Inc,15
51,4623 - 27290 Jay Kim,15
52,3721 - Santamaria Express,14
53,5006 - 39261 Salifu Bawa,14
54,2192 - 73487 Zeymane Corp,14
55,6057 - 24657 Richard Addo,13
56,5997 - 65283 AW Services Inc.,12
57,Metro Group,11
58,5062 - 34841 Sam Mestas,8
59,4053 - 40193 Adwar H. Nikola,7
60,2733 - 74600 Benny Jona,7
61,5874 - 73628 Sergey Cab Corp.,5
62,2241 - 44667 - Felman Corp,3
63,3556 - 36214 RC Andrews Cab,2
