first_open_dt,days,cohort_users,retained,retention_rate
2022-03-03,1,58,21,0.36206896551724138
2022-03-03,3,58,8,0.13793103448275862
2022-03-03,7,58,4,0.068965517241379309
2022-03-04,1,342,86,0.25146198830409355
2022-03-04,3,342,46,0.13450292397660818
2022-03-04,7,342,24,0.070175438596491224
2022-03-05,1,356,89,0.25
2022-03-05,3,356,36,0.10112359550561797
2022-03-05,7,356,10,0.028089887640449437
2022-03-06,1,342,91,0.26608187134502925
2022-03-06,3,342,37,0.10818713450292397
2022-03-06,7,342,22,0.064327485380116955
2022-03-07,1,318,106,0.33333333333333331
2022-03-07,3,318,40,0.12578616352201258
2022-03-07,7,318,16,0.050314465408805034
2022-03-08,1,323,112,0.34674922600619196
2022-03-08,3,323,38,0.11764705882352941
2022-03-08,7,323,23,0.071207430340557279
2022-03-09,1,259,89,0.34362934362934361
2022-03-09,3,259,45,0.17374517374517376
2022-03-09,7,259,13,0.05019305019305019
2022-03-10,1,268,85,0.31716417910447764
2022-03-10,3,268,33,0.12313432835820895
2022-03-10,7,268,17,0.063432835820895525
2022-03-11,1,274,86,0.31386861313868614
2022-03-11,3,274,36,0.13138686131386862
2022-03-11,7,274,19,0.069343065693430656
2022-03-12,1,312,85,0.27243589743589741
2022-03-12,3,312,45,0.14423076923076922
2022-03-12,7,312,20,0.0641025641025641
2022-03-13,1,289,84,0.29065743944636679
2022-03-13,3,289,31,0.10726643598615918
2022-03-13,7,289,21,0.0726643598615917
2022-03-14,1,295,94,0.31864406779661014
2022-03-14,3,295,41,0.13898305084745763
2022-03-14,7,295,22,0.074576271186440682
2022-03-15,1,280,88,0.31428571428571428
2022-03-15,3,280,35,0.125
2022-03-15,7,280,19,0.067857142857142852
2022-03-16,1,287,82,0.2857142857142857
2022-03-16,3,287,37,0.1289198606271777
2022-03-16,7,287,14,0.04878048780487805
2022-03-17,1,257,80,0.311284046692607
2022-03-17,3,257,28,0.10894941634241245
2022-03-17,7,257,21,0.08171206225680934
2022-03-18,1,273,86,0.315018315018315
2022-03-18,3,273,50,0.18315018315018314
2022-03-18,7,273,21,0.076923076923076927
2022-03-19,1,304,91,0.29934210526315791
2022-03-19,3,304,51,0.16776315789473684
2022-03-19,7,304,30,0.098684210526315791
2022-03-20,1,287,88,0.30662020905923343
2022-03-20,3,287,45,0.156794425087108
2022-03-20,7,287,26,0.090592334494773524
2022-03-21,1,356,122,0.34269662921348315
2022-03-21,3,356,46,0.12921348314606743
2022-03-21,7,356,18,0.050561797752808987
2022-03-22,1,389,133,0.34190231362467866
2022-03-22,3,389,57,0.14652956298200515
2022-03-22,7,389,27,0.069408740359897178
2022-03-23,1,310,111,0.35806451612903228
2022-03-23,3,310,53,0.17096774193548386
2022-03-23,7,310,29,0.0935483870967742
2022-03-24,1,386,139,0.36010362694300518
2022-03-24,3,386,65,0.16839378238341968
2022-03-24,7,386,36,0.093264248704663211
2022-03-25,1,430,147,0.34186046511627904
2022-03-25,3,430,67,0.1558139534883721
2022-03-25,7,430,28,0.065116279069767441
2022-03-26,1,418,153,0.36602870813397131
2022-03-26,3,418,64,0.15311004784688995
2022-03-26,7,418,28,0.066985645933014357
2022-03-27,1,416,124,0.29807692307692307
2022-03-27,3,416,66,0.15865384615384615
2022-03-27,7,416,35,0.084134615384615391
2022-03-28,1,418,146,0.34928229665071769
2022-03-28,3,418,63,0.15071770334928231
2022-03-28,7,418,35,0.083732057416267949
2022-03-29,1,494,145,0.29352226720647773
2022-03-29,3,494,59,0.1194331983805668
2022-03-30,1,486,147,0.30246913580246915
2022-03-30,3,486,57,0.11728395061728394
2022-03-31,1,415,126,0.30361445783132529
2022-03-31,3,415,68,0.163855421686747
2022-04-01,1,346,109,0.315028901734104
2022-04-01,3,346,52,0.15028901734104047
2022-04-02,1,365,124,0.33972602739726027
2022-04-03,1,511,148,0.28962818003913893
