first_open_dt,days,cohort_users,retained,retention_rate
2022-03-03,1,8,1,0.125
2022-03-03,3,8,1,0.125
2022-03-04,1,26,5,0.19230769230769232
2022-03-04,3,26,1,0.038461538461538464
2022-03-04,7,26,1,0.038461538461538464
2022-03-05,1,22,3,0.13636363636363635
2022-03-05,3,22,2,0.090909090909090912
2022-03-05,7,22,2,0.090909090909090912
2022-03-06,1,25,2,0.08
2022-03-06,3,25,2,0.08
2022-03-06,7,25,2,0.08
2022-03-07,1,24,4,0.16666666666666666
2022-03-07,3,24,2,0.083333333333333329
2022-03-08,1,16,2,0.125
2022-03-08,3,16,1,0.0625
2022-03-08,7,16,1,0.0625
2022-03-09,1,77,33,0.42857142857142855
2022-03-09,3,77,16,0.20779220779220781
2022-03-09,7,77,10,0.12987012987012986
2022-03-10,1,154,47,0.30519480519480519
2022-03-10,3,154,16,0.1038961038961039
2022-03-10,7,154,7,0.045454545454545456
2022-03-11,1,188,54,0.28723404255319152
2022-03-11,3,188,28,0.14893617021276595
2022-03-11,7,188,9,0.047872340425531915
2022-03-12,1,213,54,0.25352112676056338
2022-03-12,3,213,24,0.11267605633802817
2022-03-12,7,213,15,0.070422535211267609
2022-03-13,1,282,68,0.24113475177304963
2022-03-13,3,282,34,0.12056737588652482
2022-03-13,7,282,18,0.063829787234042548
2022-03-14,1,252,72,0.2857142857142857
2022-03-14,3,252,27,0.10714285714285714
2022-03-14,7,252,18,0.071428571428571425
2022-03-15,1,255,70,0.27450980392156865
2022-03-15,3,255,29,0.11372549019607843
2022-03-15,7,255,15,0.058823529411764705
2022-03-16,1,224,60,0.26785714285714285
2022-03-16,3,224,18,0.080357142857142863
2022-03-16,7,224,14,0.0625
2022-03-17,1,205,40,0.1951219512195122
2022-03-17,3,205,27,0.13170731707317074
2022-03-17,7,205,20,0.0975609756097561
2022-03-18,1,170,49,0.28823529411764703
2022-03-18,3,170,18,0.10588235294117647
2022-03-18,7,170,11,0.064705882352941183
2022-03-19,1,149,40,0.26845637583892618
2022-03-19,3,149,18,0.12080536912751678
2022-03-19,7,149,14,0.093959731543624164
2022-03-20,1,134,32,0.23880597014925373
2022-03-20,3,134,18,0.13432835820895522
2022-03-20,7,134,5,0.037313432835820892
2022-03-21,1,135,42,0.31111111111111112
2022-03-21,3,135,23,0.17037037037037037
2022-03-21,7,135,13,0.0962962962962963
2022-03-22,1,128,37,0.2890625
2022-03-22,3,128,15,0.1171875
2022-03-22,7,128,12,0.09375
2022-03-23,1,130,32,0.24615384615384617
2022-03-23,3,130,14,0.1076923076923077
2022-03-23,7,130,9,0.069230769230769235
2022-03-24,1,128,50,0.390625
2022-03-24,3,128,22,0.171875
2022-03-24,7,128,10,0.078125
2022-03-25,1,137,30,0.21897810218978103
2022-03-25,3,137,9,0.06569343065693431
2022-03-25,7,137,4,0.029197080291970802
2022-03-26,1,128,28,0.21875
2022-03-26,3,128,17,0.1328125
2022-03-26,7,128,5,0.0390625
2022-03-27,1,147,26,0.17687074829931973
2022-03-27,3,147,10,0.068027210884353748
2022-03-27,7,147,8,0.054421768707482991
2022-03-28,1,125,34,0.272
2022-03-28,3,125,12,0.096
2022-03-28,7,125,4,0.032
2022-03-29,1,136,39,0.28676470588235292
2022-03-29,3,136,14,0.10294117647058823
2022-03-30,1,101,21,0.20792079207920791
2022-03-30,3,101,15,0.14851485148514851
2022-03-31,1,65,15,0.23076923076923078
2022-03-31,3,65,6,0.092307692307692313
2022-04-01,1,43,8,0.18604651162790697
2022-04-01,3,43,4,0.093023255813953487
2022-04-02,1,35,10,0.2857142857142857
2022-04-03,1,25,5,0.2
